id,pose_name,type_of_practice,props_required,body_focus,pose_category,benefits,instructions
448,Cat-Cow Pose,Ashtanga,Strap,Balance,Inversion,Increases energy,"From a plank position, bring one knee forward and extend the opposite leg back."
449,Half Pigeon Pose,Vinyasa,Bolster,Balance,Supine,Stretches hamstrings,"From a plank position, bring one knee forward and extend the opposite leg back."
450,Seated Forward Bend,Restorative,Bolster,Back,Balancing,Relieves stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
451,Chair Pose,Vinyasa,None,Full Body,Seated,Improves posture,"From a plank position, bring one knee forward and extend the opposite leg back."
452,Child's Pose,Restorative,Strap,Upper Body,Seated,Calms the mind,"Kneel on the mat, arch back, place hands on heels, and lift chest."
453,Crow Pose,Hatha,Strap,Full Body,Standing,Increases energy,"Start on hands and knees, lift hips up, forming an inverted V-shape."
454,Triangle Pose,Ashtanga,Bolster,Strength,Balancing,Calms the mind,"Sit with legs extended, reach forward toward toes, and relax."
455,Plank Pose,Restorative,Mat,Back,Standing,Strengthens arms,"Sit with legs extended, reach forward toward toes, and relax."
456,Bow Pose,Yin,Strap,Full Body,Supine,Improves posture,"Kneel on the mat, arch back, place hands on heels, and lift chest."
457,Cat-Cow Pose,Yin,Bolster,Balance,Inversion,Stretches hamstrings,"From a plank position, bring one knee forward and extend the opposite leg back."
458,Tree Pose,Vinyasa,Bolster,Lower Body,Supine,Reduces stress,"Kneel on the mat, arch back, place hands on heels, and lift chest."
459,Hero Pose,Ashtanga,Mat,Balance,Inversion,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
460,Eagle Pose,Hatha,None,Back,Inversion,Strengthens core,"Lie on back, bend knees, lift hips toward the ceiling."
461,Cat-Cow Pose,Vinyasa,Block,Hips,Supine,Opens hips,"Sit with legs extended, reach forward toward toes, and relax."
462,Mountain Pose,Hatha,Bolster,Strength,Backbend,Calms the mind,"From a plank position, bring one knee forward and extend the opposite leg back."
463,Hero Pose,Hatha,Bolster,Flexibility,Balancing,Opens hips,"Lie on back, bend knees, lift hips toward the ceiling."
464,Bow Pose,Ashtanga,Strap,Hips,Balancing,Stretches hamstrings,"Start in a push-up position, keep the body in a straight line from head to heels."
465,Low Lunge,Ashtanga,Mat,Flexibility,Inversion,Reduces stress,"Start in a push-up position, keep the body in a straight line from head to heels."
466,Downward Facing Dog,Yin,Strap,Flexibility,Balancing,Reduces stress,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
467,Cat-Cow Pose,Vinyasa,Bolster,Flexibility,Seated,Increases energy,"From a plank position, bring one knee forward and extend the opposite leg back."
468,Half Pigeon Pose,Hatha,Mat,Chest,Standing,Reduces stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
469,Mountain Pose,Yin,Block,Upper Body,Inversion,Strengthens core,"Start on hands and knees, lift hips up, forming an inverted V-shape."
470,Downward Facing Dog,Hatha,Bolster,Upper Body,Inversion,Strengthens arms,"Lie flat on your back, arms at your sides, close your eyes and relax."
471,Downward Facing Dog,Ashtanga,Bolster,Lower Body,Seated,Relieves stress,"Start on hands and knees, lift hips up, forming an inverted V-shape."
472,Tree Pose,Vinyasa,Mat,Upper Body,Supine,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
473,Plank Pose,Hatha,None,Core,Inversion,Increases energy,"Kneel on the mat, sit back on heels, and stretch arms forward."
474,Camel Pose,Restorative,Block,Chest,Seated,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
475,Bridge Pose,Yin,Strap,Core,Backbend,Calms the mind,"Lie flat on your back, arms at your sides, close your eyes and relax."
476,Camel Pose,Yin,Mat,Strength,Supine,Stretches hamstrings,"Kneel on the mat, arch back, place hands on heels, and lift chest."
477,Tree Pose,Ashtanga,None,Upper Body,Balancing,Strengthens core,"Lie flat on your back, arms at your sides, close your eyes and relax."
478,Eagle Pose,Hatha,None,Full Body,Standing,Reduces stress,"Kneel on the mat, sit back on heels, and stretch arms forward."
479,Camel Pose,Hatha,Bolster,Strength,Standing,Relieves stress,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
480,Warrior II,Vinyasa,Strap,Full Body,Inversion,Stretches hamstrings,"Sit with legs extended, reach forward toward toes, and relax."
481,Half Pigeon Pose,Yin,Block,Full Body,Balancing,Stretches hamstrings,"Sit with legs extended, reach forward toward toes, and relax."
482,Mountain Pose,Vinyasa,Mat,Flexibility,Standing,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
483,Plank Pose,Ashtanga,None,Strength,Backbend,Stretches hamstrings,"Kneel on the mat, sit back on heels, and stretch arms forward."
484,Corpse Pose,Yin,Block,Balance,Supine,Relieves stress,"Lie flat on your back, arms at your sides, close your eyes and relax."
485,Plank Pose,Vinyasa,Bolster,Core,Inversion,Strengthens core,"Start in a push-up position, keep the body in a straight line from head to heels."
486,Half Pigeon Pose,Restorative,Block,Core,Supine,Reduces stress,"Lie on back, bend knees, lift hips toward the ceiling."
487,Triangle Pose,Hatha,Mat,Core,Standing,Improves balance,"Kneel on the mat, arch back, place hands on heels, and lift chest."
488,Bow Pose,Yin,None,Hips,Backbend,Stretches hamstrings,"Start in a push-up position, keep the body in a straight line from head to heels."
489,Cobra Pose,Hatha,Block,Upper Body,Inversion,Stretches hamstrings,"Start in a push-up position, keep the body in a straight line from head to heels."
490,Hero Pose,Yin,None,Hips,Standing,Stretches hamstrings,"Kneel on the mat, sit back on heels, and stretch arms forward."
491,Corpse Pose,Vinyasa,Strap,Back,Seated,Calms the mind,"Stand on one leg, place foot on inner thigh, balance with hands at heart center."
492,Mountain Pose,Hatha,Mat,Core,Backbend,Strengthens arms,"Lie on back, bend knees, lift hips toward the ceiling."
493,Half Pigeon Pose,Ashtanga,None,Lower Body,Inversion,Calms the mind,"Start on hands and knees, lift hips up, forming an inverted V-shape."
494,Triangle Pose,Hatha,Mat,Lower Body,Inversion,Relieves stress,"Kneel on the mat, sit back on heels, and stretch arms forward."
495,Warrior II,Restorative,Block,Chest,Supine,Stretches hamstrings,"Start on hands and knees, lift hips up, forming an inverted V-shape."
496,Seated Forward Bend,Ashtanga,None,Flexibility,Inversion,Improves posture,"Start on hands and knees, lift hips up, forming an inverted V-shape."
497,Cobra Pose,Yin,Bolster,Hips,Inversion,Improves posture,"From a plank position, bring one knee forward and extend the opposite leg back."
498,Crow Pose,Ashtanga,Block,Upper Body,Balancing,Stretches hamstrings,"Kneel on the mat, sit back on heels, and stretch arms forward."
499,Child's Pose,Restorative,Block,Flexibility,Standing,Calms the mind,"Stand with feet wide apart, bend one knee and extend arms parallel to the floor."
500,Downward Facing Dog,Hatha,Strap,Back,Standing,Improves balance,"Kneel on the mat, arch back, place hands on heels, and lift chest."
